year,age
1989,30
2014,5
1997,22
1990,29
2012,7
2016,3
2019,0
2006,13
2018,1
2010,9
1991,28
1997,22
2009,10
2019,0
2018,1
2016,3
1982,37
1989,30
2014,5
2008,11
2018,1
2019,0
2013,6
1975,44
2018,1
1989,30
1981,38
1994,25
1980,39
1989,30
2006,13
1994,25
1975,44
2018,1
2009,10
1983,36
2014,5
2018,1
2017,2
2014,5
2018,1
2014,5
2019,0
1946,73
2011,8
2013,6
2001,18
2014,5
2016,3
2016,3
2019,0
1965,54
1992,27
1985,34
2016,3
2013,6
2018,1
2012,7
2013,6
2005,14
2008,11
1972,47
1996,23
1990,29
1995,24
1994,25
2013,6
1969,50
1979,40
1972,47
1998,21
1981,38
1989,30
2000,19
1996,23
1982,37
1980,39
1995,24
2017,2
1981,38
2016,3
2014,5
2016,3
1989,30
2015,4
1995,24
2017,2
2019,0
1989,30
2002,17
2016,3
1965,54
1995,24
2018,1
2007,12
2017,2
1986,33
1979,40
2016,3
1992,27
2018,1
2005,14
2013,6
2019,0
2016,3
2015,4
2012,7
1990,29
2018,1
2012,7
1995,24
2015,4
2013,6
2019,0
2009,10
1986,33
2019,0
2015,4
1994,25
2014,5
2009,10
1962,57
1977,42
1984,35
2019,0
2019,0
1960,59
2001,18
1980,39
2015,4
1987,32
1998,21
1964,55
1982,37
1998,21
1988,31
2017,2
2017,2
1978,41
2015,4
2014,5
2016,3
1983,36
2019,0
2011,8
2016,3
1997,22
2012,7
1991,28
1983,36
2012,7
1994,25
2016,3
1995,24
2006,13
2016,3
2000,19
1995,24
2006,13
2016,3
1981,38
1993,26
2016,3
2000,19
2016,3
2016,3
1995,24
1989,30
2006,13
1993,26
2013,6
2013,6
2015,4
1994,25
2016,3
2005,14
1990,29
1997,22
1993,26
1998,21
2013,6
1968,51
2016,3
2013,6
2016,3
2012,7
1989,30
2015,4
1988,31
2016,3
1982,37
1989,30
2012,7
2001,18
1988,31
1995,24
2001,18
2016,3
2011,8
1984,35
2015,4
2011,8
2016,3
1973,46
2005,14
1992,27
1976,43
2017,2
1993,26
1999,20
2014,5
2018,1
1985,34
1996,23
2017,2
2004,15
1979,40
2013,6
1982,37
2017,2
1997,22
2017,2
1994,25
1975,44
2005,14
2016,3
2016,3
2017,2
2017,2
1982,37
2002,17
1993,26
2017,2
2004,15
1999,20
2004,15
2015,4
1998,21
1969,50
1978,41
2013,6
2013,6
2016,3
2014,5
1989,30
1984,35
1998,21
1983,36
2004,15
2017,2
1990,29
2000,19
2017,2
2017,2
2002,17
1966,53
1963,56
2018,1
2018,1
1988,31
2000,19
2015,4
2014,5
1961,58
1987,32
2013,6
2018,1
2012,7
1986,33
2017,2
2012,7
1962,57
2007,12
1980,39
2007,12
1980,39
2018,1
2018,1
2016,3
1991,28
2015,4
2018,1
2008,11
2014,5
2017,2
2017,2
2016,3
2013,6
2016,3
1980,39
2016,3
2005,14
1999,20
2018,1
2018,1
2017,2
1996,23
1979,40
2012,7
2017,2
1974,45
2011,8
1996,23
2007,12
1989,30
1979,40
2018,1
2018,1
1995,24
2000,19
1998,21
2018,1
2017,2
1989,30
1973,46
2010,9
1991,28
2015,4
2018,1
1992,27
2018,1
2016,3
2018,1
2017,2
2009,10
1982,37
1998,21
1977,42
1992,27
1959,60
1982,37
1991,28
1977,42
2003,16
1973,46
2000,19
2013,6
2018,1
2019,0
2019,0
1978,41
2017,2
2016,3
2013,6
1968,51
2009,10
2018,1
2016,3
2018,1
2016,3
1974,45
2016,3
2008,11
1968,51
2016,3
1978,41
1981,38
2016,3
2017,2
2010,9
2003,16
1994,25
2011,8
2001,18
1977,42
2015,4
1993,26
2016,3
2016,3
2012,7
2016,3
1986,33
1969,50
2016,3
2013,6
1981,38
2016,3
1998,21
2016,3
1989,30
1979,40
2000,19
2017,2
1986,33
1995,24
1987,32
1984,35
1983,36
2015,4
1984,35
2017,2
1986,33
1977,42
1989,30
1990,29
2017,2
2017,2
2016,3
2015,4
2016,3
2015,4
2011,8
2013,6
1990,29
1977,42
1996,23
1994,25
2017,2
2017,2
2016,3
1991,28
2017,2
1999,20
1994,25
2015,4
1977,42
2016,3
1998,21
2017,2
2016,3
2015,4
2016,3
2006,13
2017,2
2017,2
2007,12
1985,34
2015,4
2003,16
1996,23
1977,42
2014,5
2016,3
2014,5
2015,4
2017,2
2016,3
2017,2
2012,7
2017,2
2010,9
2015,4
1979,40
2016,3
2014,5
2002,17
1997,22
1995,24
1995,24
1989,30
1979,40
1979,40
1998,21
1994,25
1989,30
2017,2
2016,3
1982,37
1989,30
2002,17
2000,19
2013,6
2017,2
1981,38
2011,8
1991,28
2017,2
2017,2
2014,5
2017,2
2016,3
1996,23
2017,2
2016,3
2017,2
2016,3
2016,3
1998,21
1983,36
1991,28
2013,6
2014,5
2016,3
2017,2
1991,28
2005,14
1978,41
2010,9
1996,23
1994,25
2017,2
1999,20
1963,56
2014,5
2012,7
1994,25
1982,37
2015,4
1974,45
2017,2
2014,5
2017,2
2006,13
1989,30
2019,0
2019,0
2019,0
2000,19
1963,56
1993,26
2019,0
2019,0
2004,15
1984,35
2019,0
2016,3
2016,3
1977,42
1995,24
1979,40
1995,24
2011,8
2019,0
1999,20
1996,23
2018,1
2017,2
2017,2
2015,4
2019,0
2019,0
2007,12
2014,5
1956,63
2019,0
2005,14
2006,13
2005,14
2018,1
2019,0
2019,0
1987,32
2017,2
1995,24
2019,0
1979,40
2005,14
1990,29
2019,0
2019,0
2019,0
2019,0
2013,6
2019,0
1991,28
1998,21
1983,36
2017,2
2010,9
2016,3
2011,8
1999,20
1967,52
2004,15
2015,4
2000,19
1998,21
1998,21
2015,4
2006,13
1979,40
2010,9
2014,5
2013,6
1986,33
2004,15
2016,3
1983,36
2017,2
1996,23
2011,8
1996,23
1991,28
2015,4
2012,7
1981,38
1990,29
2012,7
1972,47
2016,3
2016,3
2004,15
1990,29
1980,39
2013,6
2013,6
2011,8
2016,3
2016,3
2014,5
1995,24
1994,25
2014,5
2000,19
2015,4
2011,8
1997,22
1997,22
2015,4
2011,8
1989,30
1974,45
2016,3
1987,32
1991,28
2005,14
2015,4
2000,19
2017,2
1968,51
2004,15
2017,2
2016,3
2016,3
2008,11
2016,3
2000,19
1976,43
2015,4
1957,62
1970,49
2005,14
1979,40
2016,3
2017,2
1979,40
1947,72
1982,37
2002,17
1996,23
1977,42
1999,20
2015,4
2017,2
1996,23
2007,12
2014,5
2014,5
1988,31
2007,12
2014,5
1984,35
1995,24
2016,3
2016,3
2014,5
1974,45
2001,18
1994,25
1985,34
2016,3
2005,14
2018,1
1970,49
2000,19
2016,3
1983,36
1973,46
2018,1
2018,1
2018,1
2018,1
2016,3
2004,15
2018,1
1991,28
2018,1
1977,42
2018,1
2018,1
2015,4
2016,3
2014,5
2016,3
1981,38
2002,17
2017,2
1997,22
2010,9
2006,13
2018,1
1996,23
1990,29
2001,18
2002,17
1988,31
2017,2
2006,13
1988,31
2011,8
1978,41
1981,38
2018,1
2018,1
1998,21
1980,39
1980,39
2008,11
1980,39
2015,4
2016,3
2017,2
1991,28
1993,26
1999,20
2016,3
2018,1
2007,12
1995,24
2003,16
1996,23
1999,20
2017,2
2017,2
2013,6
2018,1
2007,12
1995,24
1999,20
1991,28
1998,21
2006,13
1995,24
2005,14
2014,5
1988,31
2015,4
2015,4
1996,23
2016,3
2017,2
2013,6
2017,2
1992,27
2012,7
2018,1
1996,23
1996,23
1999,20
2016,3
1968,51
2011,8
2005,14
2018,1
2016,3
2018,1
2017,2
1977,42
2015,4
2016,3
2016,3
1999,20
2001,18
1987,32
1989,30
2013,6
2018,1
2001,18
2018,1
2018,1
2018,1
2017,2
2018,1
1974,45
2013,6
1991,28
2018,1
1981,38
2012,7
2018,1
2018,1
1968,51
1979,40
1996,23
2018,1
1983,36
2010,9
2018,1
2017,2
2016,3
2017,2
2011,8
2006,13
2018,1
1993,26
2018,1
2006,13
2013,6
2017,2
1981,38
2018,1
2018,1
2018,1
1983,36
2018,1
1995,24
1974,45
2002,17
1976,43
2014,5
2013,6
2015,4
1979,40
1987,32
2015,4
2013,6
2004,15
1992,27
2008,11
1963,56
2006,13
2007,12
2016,3
2012,7
2013,6
1978,41
1972,47
2006,13
2003,16
1977,42
1979,40
1997,22
1982,37
1986,33
1976,43
1982,37
2007,12
1980,39
1981,38
2005,14
1983,36
1976,43
2014,5
1994,25
1978,41
1998,21
2014,5
1995,24
2001,18
2015,4
1963,56
2006,13
1983,36
2011,8
2001,18
2003,16
2015,4
2016,3
2016,3
2013,6
1980,39
2014,5
2015,4
2016,3
1994,25
1996,23
1990,29
2016,3
2016,3
1989,30
1968,51
2014,5
1983,36
2016,3
2016,3
2016,3
2006,13
2008,11
2015,4
2014,5
1986,33
1963,56
1978,41
2007,12
1999,20
2015,4
1990,29
2000,19
1993,26
1997,22
2016,3
2016,3
2016,3
2016,3
2016,3
2016,3
2014,5
1987,32
2016,3
1995,24
1984,35
2011,8
2016,3
1974,45
1995,24
1997,22
1992,27
2018,1
2018,1
2018,1
2019,0
2019,0
2019,0
1979,40
2019,0
2016,3
2016,3
2013,6
2013,6
2016,3
2013,6
2016,3
2016,3
2003,16
2003,16
1991,28
2018,1
2011,8
2017,2
1982,37
2013,6
2018,1
1992,27
1989,30
1976,43
2018,1
1973,46
1997,22
1969,50
2018,1
2001,18
2018,1
2019,0
2018,1
2013,6
2019,0
1993,26
2016,3
2017,2
2017,2
1988,31
2014,5
1989,30
1993,26
2013,6
2018,1
1995,24
1996,23
2017,2
1983,36
2019,0
2007,12
2018,1
2010,9
2018,1
2019,0
2016,3
2006,13
1981,38
2019,0
2009,10
2011,8
2016,3
2018,1
1999,20
1969,50
2016,3
2019,0
2016,3
1986,33
2019,0
1995,24
1982,37
2018,1
2006,13
2019,0
1988,31
2007,12
2001,18
2018,1
2018,1
2000,19
2013,6
1983,36
1973,46
1971,48
2018,1
1973,46
1968,51
2005,14
2018,1
2016,3
2019,0
2016,3
1997,22
