Sex,Rating
Female,6
Female,5
Female,2
Female,4
Female,1
Female,2
Female,5
Female,4
Female,2
Female,4
Female,5
Female,4
Female,5
Female,4
Female,4
Female,6
Female,0
Female,4
Female,1
Female,3
Female,5
Female,2
Female,6
Female,3
Female,4
Female,3
Female,4
Female,4
Female,4
Female,2
Female,3
Female,5
Female,6
Female,2
Male,4
Male,3
Male,3
Male,6
Male,6
Male,4
Male,4
Male,6
Male,4
Male,4
Male,4
Male,5
Male,5
Male,4
Male,3
Male,4
Male,4
Male,4
Male,6
Male,5
Male,5
Male,7
Male,5
Male,5
Male,6
Male,5
Male,5
Male,5
Male,6
Male,4
Male,6
Male,4
Male,5
Male,6
